Date,AAPL,MSFT,GOOGL,AMZN
2022-04-14,161.94859313964844,270.70074462890625,125.69117736816406,151.7064971923828
2022-04-18,161.7330322265625,271.36822509765625,126.62991333007812,152.78500366210938
2022-04-19,164.01593017578125,275.99224853515625,128.94329833984375,158.11549377441406
2022-04-20,163.849365234375,277.0176086425781,126.99042510986328,153.9980010986328
2022-04-21,163.05575561523438,271.64874267578125,123.7913589477539,148.29600524902344
2022-04-22,158.5193328857422,265.0899353027344,118.65481567382812,144.35000610351562
2022-04-25,159.5873260498047,271.5617370605469,122.06513214111328,146.07400512695312
2022-04-26,153.63021850585938,261.4042663574219,117.67739868164062,139.39100646972656
2022-04-27,153.40489196777344,273.9801330566406,113.35759735107422,138.16700744628906
2022-04-28,160.3319549560547,280.1809997558594,117.55094146728516,144.59649658203125
2022-04-29,154.46302795410156,268.466064453125,113.17411041259766,124.28150177001953
2022-05-02,154.7667694091797,275.1893310546875,115.62733459472656,124.5
2022-05-03,156.2560272216797,272.58709716796875,116.37218475341797,124.25350189208984
2022-05-04,162.66383361816406,280.5196228027344,121.25879669189453,125.92849731445312
2022-05-05,153.60081481933594,268.3016357421875,115.55047607421875,116.40699768066406
2022-05-06,154.3269500732422,265.7671203613281,114.79769134521484,114.77249908447266
2022-05-09,149.20492553710938,255.94827270507812,111.5887222290039,108.78900146484375
2022-05-10,151.6089630126953,260.707763671875,113.45726776123047,108.85900115966797
2022-05-11,143.7493438720703,252.04971313476562,112.67127227783203,105.37200164794922
2022-05-12,139.88328552246094,247.01939392089844,111.91898345947266,106.93049621582031
2022-05-13,144.3478546142578,252.60113525390625,115.09919738769531,113.05500030517578
2022-05-16,142.8073272705078,252.9687042236328,113.5068588256836,110.81050109863281
2022-05-17,146.43788146972656,258.1152648925781,115.51824188232422,115.36849975585938
2022-05-18,138.17596435546875,246.36328125,110.98222351074219,107.11250305175781
2022-05-19,134.7711181640625,245.45184326171875,109.4791488647461,107.31900024414062
2022-05-20,135.00662231445312,244.88943481445312,108.01525115966797,107.59100341796875
2022-05-23,140.42300415039062,252.73373413085938,110.57410430908203,107.55699920654297
2022-05-24,137.72462463378906,251.7350311279297,105.10134887695312,104.0999984741211
2022-05-25,137.88160705566406,254.5469207763672,104.93769073486328,106.7750015258789
2022-05-26,141.0803985595703,257.8242492675781,106.90890502929688,111.07749938964844
2022-05-27,146.83038330078125,264.94134521484375,111.39580535888672,115.14649963378906
2022-05-31,146.04537963867188,263.61297607421875,112.82946014404297,120.20950317382812
2022-06-01,145.91786193847656,264.14630126953125,112.9583969116211,121.68399810791016
2022-06-02,148.3708953857422,266.24066162109375,116.65831756591797,125.51100158691406
2022-06-03,142.65032958984375,261.819091796875,113.6020736694336,122.3499984741211
2022-06-06,143.3960418701172,260.5877685546875,115.86289978027344,124.79000091552734
2022-06-07,145.91786193847656,264.22381591796875,116.18919372558594,123.0
2022-06-08,145.1819305419922,262.1972961425781,116.23332977294922,121.18000030517578
2022-06-09,139.96177673339844,256.7480163574219,113.89417266845703,116.1500015258789
2022-06-10,134.5552978515625,245.3063507080078,110.25028228759766,109.6500015258789
2022-06-13,129.40383911132812,234.90225219726562,105.52037048339844,103.66999816894531
2022-06-14,130.26727294921875,237.06454467773438,105.84072875976562,102.30999755859375
2022-06-15,132.88720703125,244.11370849609375,108.86473083496094,107.66999816894531
2022-06-16,127.61801147460938,237.52992248535156,105.16431427001953,103.66000366210938
2022-06-17,129.08982849121094,240.12852478027344,106.26521301269531,106.22000122070312
2022-06-21,133.3189239501953,246.03359985351562,110.62964630126953,108.68000030517578
2022-06-22,132.80870056152344,245.44212341308594,110.57361602783203,108.94999694824219
2022-06-23,135.67384338378906,250.9980926513672,111.3219223022461,112.44000244140625
2022-06-24,139.00021362304688,259.5697326660156,117.0079345703125,116.45999908447266
2022-06-27,139.00021362304688,256.8450012207031,114.88398742675781,113.22000122070312
2022-06-28,134.8594512939453,248.69039916992188,111.08935546875,107.4000015258789
2022-06-29,136.61581420898438,252.35556030273438,110.7858657836914,108.91999816894531
2022-06-30,134.1529541015625,249.02975463867188,108.0698013305664,106.20999908447266
2022-07-01,136.3214569091797,251.6962127685547,107.84615325927734,109.55999755859375
2022-07-05,138.90206909179688,254.8668975830078,112.33455657958984,113.5
2022-07-06,140.2365264892578,258.12493896484375,113.63282012939453,114.33000183105469
2022-07-07,143.6021728515625,260.2483215332031,117.8093032836914,116.33000183105469
2022-07-08,144.27920532226562,259.5308532714844,118.37513732910156,115.54000091552734
2022-07-11,142.1499786376953,256.47650146484375,114.728271484375,111.75
2022-07-12,143.121337890625,245.96571350097656,113.08585357666016,109.22000122070312
2022-07-13,142.75828552246094,245.0446014404297,110.44071960449219,110.4000015258789
2022-07-14,145.68234252929688,246.36328125,109.46279907226562,110.62999725341797
2022-07-15,147.3504180908203,248.92308044433594,110.8612289428711,113.55000305175781
2022-07-18,144.30862426757812,246.52810668945312,108.13624572753906,113.76000213623047
2022-07-19,148.1648406982422,251.64772033691406,112.87706756591797,118.20999908447266
2022-07-20,150.16656494140625,254.30453491210938,112.96633911132812,122.7699966430664
2022-07-21,152.4331512451172,256.79644775390625,113.40274047851562,124.62999725341797
2022-07-22,151.19679260253906,252.4525146484375,107.01551818847656,122.41999816894531
2022-07-25,150.07823181152344,250.9689483642578,106.62871551513672,121.13999938964844
2022-07-26,148.75355529785156,244.24949645996094,104.15911865234375,114.80999755859375
2022-07-27,153.84613037109375,260.5780029296875,112.13321685791016,120.97000122070312
2022-07-28,154.39564514160156,268.01513671875,113.28372192382812,122.27999877929688
2022-07-29,159.45870971679688,272.21356201171875,115.36649322509766,134.9499969482422
2022-08-01,158.4774932861328,269.5664978027344,113.91846466064453,135.38999938964844
2022-08-02,157.0056915283203,266.4733581542969,114.18624877929688,134.16000366210938
2022-08-03,163.0107879638672,273.89105224609375,117.11206817626953,139.52000427246094
2022-08-04,162.69677734375,275.03521728515625,117.2211685180664,142.57000732421875
2022-08-05,162.47080993652344,274.3176574707031,116.50707244873047,140.8000030517578
2022-08-08,161.99913024902344,271.80633544921875,116.3384780883789,139.41000366210938
2022-08-09,162.04824829101562,273.7261657714844,115.67394256591797,137.8300018310547
2022-08-10,166.2930450439453,280.3778381347656,118.71878814697266,142.69000244140625
2022-08-11,165.55612182617188,278.3028564453125,117.86583709716797,140.63999938964844
2022-08-12,169.10324096679688,283.0443115234375,120.68256378173828,143.5500030517578
2022-08-15,170.17428588867188,284.5569763183594,121.07928466796875,143.17999267578125
2022-08-16,170.01702880859375,283.82000732421875,120.70240020751953,144.77999877929688
2022-08-17,171.5105438232422,283.07183837890625,118.57002258300781,142.10000610351562
2022-08-18,171.11752319335938,281.954345703125,119.18492889404297,142.3000030517578
2022-08-19,168.53334045410156,278.0481872558594,116.24919891357422,138.22999572753906
2022-08-22,164.65211486816406,269.8860168457031,113.30354309082031,133.22000122070312
2022-08-23,164.31800842285156,268.61309814453125,112.92667388916016,133.6199951171875
2022-08-24,164.61280822753906,267.9815673828125,112.758056640625,133.8000030517578
2022-08-25,167.06927490234375,270.954833984375,115.69378662109375,137.27999877929688
2022-08-26,160.7708740234375,260.4994812011719,109.43551635742188,130.75
2022-08-29,158.56988525390625,257.7204895019531,108.5230712890625,129.7899932861328
2022-08-30,156.14292907714844,255.52450561523438,108.04700469970703,128.72999572753906
2022-08-31,154.48233032226562,254.06695556640625,107.33290100097656,126.7699966430664
2022-09-01,155.20945739746094,253.0272674560547,108.84043884277344,127.81999969482422
2022-09-02,153.09689331054688,248.8101348876953,106.9659194946289,127.51000213623047
2022-09-06,151.8391876220703,246.07968139648438,105.9344482421875,126.11000061035156
2022-09-07,153.2442626953125,250.7826690673828,108.55280303955078,129.47999572753906
2022-09-08,151.7703857421875,251.20050048828125,107.49158477783203,129.82000732421875
2022-09-09,154.62974548339844,256.9722595214844,109.74297332763672,133.27000427246094
2022-09-12,160.58419799804688,259.100341796875,109.95125579833984,136.4499969482422
2022-09-13,151.1611785888672,244.85536193847656,103.4648666381836,126.81999969482422
2022-09-14,152.60560607910156,245.078857421875,104.13929748535156,128.5500030517578
2022-09-15,149.716796875,238.43252563476562,102.06642150878906,126.27999877929688
2022-09-16,148.07586669921875,237.81068420410156,101.95732116699219,123.52999877929688
2022-09-19,151.7900390625,237.59689331054688,102.22510528564453,124.66000366210938
2022-09-20,154.16787719726562,235.58551025390625,100.31092834472656,122.19000244140625
2022-09-21,151.0432891845703,232.1845703125,98.46617126464844,118.54000091552734
2022-09-22,150.0803680419922,234.15711975097656,99.31912231445312,117.30999755859375
2022-09-23,147.81057739257812,231.1837615966797,97.93061065673828,113.77999877929688
2022-09-26,148.14463806152344,230.72702026367188,97.36526489257812,115.1500015258789
2022-09-27,149.11741638183594,229.71649169921875,96.70076751708984,114.41000366210938
2022-09-28,147.2308349609375,234.2445831298828,99.22986602783203,118.01000213623047
2022-09-29,139.99899291992188,230.77561950683594,96.62142181396484,114.80000305175781
2022-09-30,135.79354858398438,226.30587768554688,94.86593627929688,113.0
2022-10-03,139.96949768066406,233.92391967773438,97.83141326904297,115.87999725341797
2022-10-04,143.5559539794922,241.8334197998047,100.80682373046875,121.08999633789062
2022-10-05,143.85069274902344,242.1443634033203,100.59855651855469,120.94999694824219
2022-10-06,142.89761352539062,239.8025665283203,100.58863067626953,120.30000305175781
2022-10-07,137.6505889892578,227.60797119140625,97.87110137939453,114.55999755859375
2022-10-10,137.97486877441406,222.7592010498047,97.05781555175781,113.66999816894531
2022-10-11,136.55992126464844,219.0279541015625,96.38339233398438,112.20999908447266
2022-10-12,135.9310760498047,219.35830688476562,96.76026916503906,112.9000015258789
2022-10-13,140.50009155273438,227.60797119140625,98.24797058105469,112.52999877929688
2022-10-14,135.97039794921875,222.0887451171875,95.76847076416016,106.9000015258789
2022-10-17,139.9302215576172,230.8047637939453,99.15052795410156,113.79000091552734
2022-10-18,141.24685668945312,231.74732971191406,99.94395446777344,116.36000061035156
2022-10-19,141.35496520996094,229.78451538085938,98.81331634521484,115.06999969482422
2022-10-20,140.89312744140625,229.46385192871094,99.15052795410156,115.25
2022-10-21,144.70558166503906,235.26478576660156,100.30101776123047,119.31999969482422
2022-10-24,146.84762573242188,240.2495880126953,101.67961120605469,119.81999969482422
2022-10-25,149.6873016357422,243.5630340576172,103.62355041503906,120.5999984741211
2022-10-26,146.74940490722656,224.77059936523438,94.1518325805664,115.66000366210938
2022-10-27,142.2786407470703,220.33001708984375,91.46405792236328,110.95999908447266
2022-10-28,153.0281219482422,229.1917724609375,95.50068664550781,103.41000366210938
2022-10-31,150.66989135742188,225.55767822265625,93.73527526855469,102.44000244140625
2022-11-01,148.0267333984375,221.70982360839844,89.7283935546875,96.79000091552734
2022-11-02,142.50460815429688,213.8682861328125,86.25708770751953,92.12000274658203
2022-11-03,136.4617156982422,208.18389892578125,82.74610900878906,89.30000305175781
2022-11-04,136.1959686279297,215.12176513671875,85.87028503417969,90.9800033569336
2022-11-07,136.7274169921875,221.4182586669922,87.76461791992188,90.52999877929688
2022-11-08,137.2982940673828,222.3899688720703,88.17125701904297,89.9800033569336
2022-11-09,132.7413330078125,218.15341186523438,86.6042251586914,86.13999938964844
2022-11-10,144.5519561767578,236.1004638671875,93.16995239257812,96.62999725341797
2022-11-11,147.33729553222656,240.113525390625,95.61969757080078,100.79000091552734
2022-11-14,145.93968200683594,234.7109375,94.91552734375,98.48999786376953
2022-11-15,147.6719207763672,235.1190643310547,97.63307189941406,98.94000244140625
2022-11-16,146.441650390625,235.54779052734375,98.03970336914062,97.12000274658203
2022-11-17,148.34120178222656,235.4990692138672,97.55371856689453,94.8499984741211
2022-11-18,148.90219116210938,235.0508575439453,96.63134002685547,94.13999938964844
2022-11-21,145.6739501953125,235.85963439941406,94.81633758544922,92.45999908447266
2022-11-22,147.80970764160156,238.76341247558594,96.25446319580078,93.19999694824219
2022-11-23,148.68565368652344,241.24819946289062,97.65289306640625,94.12999725341797
2022-11-25,145.7723846435547,241.16049194335938,96.66109466552734,93.41000366210938
2022-11-28,141.94378662109375,235.57705688476562,95.26266479492188,93.94999694824219
2022-11-29,138.94189453125,234.18359375,94.4096908569336,92.41999816894531
2022-11-30,145.6936492919922,248.61488342285156,100.16217041015625,96.54000091552734
2022-12-01,145.96920776367188,248.17636108398438,100.16217041015625,95.5
2022-12-02,145.4771270751953,248.49790954589844,99.61666870117188,94.12999725341797
2022-12-05,144.31576538085938,243.8011932373047,98.6645278930664,91.01000213623047
2022-12-06,140.65444946289062,238.85113525390625,96.1850357055664,88.25
2022-12-07,138.71556091308594,238.12030029296875,94.16175842285156,88.45999908447266
2022-12-08,140.3985595703125,241.0728302001953,92.94182586669922,90.3499984741211
2022-12-09,139.91629028320312,239.1434326171875,92.06906127929688,89.08999633789062
2022-12-12,142.20953369140625,246.05210876464844,92.54510498046875,90.55000305175781
